timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2023-05-29 00:00:00+00:00,16.18,16.291,16.049,16.119,1579.149,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 00:00:00+00:00,16.118,16.126,15.952,15.978,1126.766,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-31 00:00:00+00:00,15.977,16.04,15.89,15.944,1502.019,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-01 00:00:00+00:00,15.944,15.957,15.779,15.827,1286.619,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-02 00:00:00+00:00,15.827,15.851,15.679,15.704,1339.859,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-03 00:00:00+00:00,15.704,15.784,15.651,15.686,1133.918,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-04 00:00:00+00:00,15.687,15.739,15.622,15.705,947.764,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-05 00:00:00+00:00,15.704,15.996,15.662,15.778,3117.735,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-06 00:00:00+00:00,15.779,16.166,15.623,16.149,2866.103,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-07 00:00:00+00:00,16.148,16.309,16.018,16.272,2208.5,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-08 00:00:00+00:00,16.271,16.306,16.163,16.255,1901.455,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-09 00:00:00+00:00,16.255,16.402,16.233,16.368,1478.663,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-10 00:00:00+00:00,16.369,17.514,16.363,17.053,20674.547,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-11 00:00:00+00:00,17.053,17.158,17.0,17.088,4420.422,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-12 00:00:00+00:00,17.089,17.328,17.068,17.151,3790.103,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-13 00:00:00+00:00,17.151,17.249,16.945,17.074,3935.842,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-14 00:00:00+00:00,17.073,17.474,17.006,17.329,3706.273,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-15 00:00:00+00:00,17.328,17.592,17.232,17.542,4041.155,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-16 00:00:00+00:00,17.542,17.83,17.426,17.698,3671.923,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-17 00:00:00+00:00,17.699,17.772,17.48,17.642,2576.195,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-18 00:00:00+00:00,17.642,17.694,17.512,17.6,1860.251,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-19 00:00:00+00:00,17.599,17.824,17.582,17.792,2655.07,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-20 00:00:00+00:00,17.793,18.35,17.787,18.285,6790.523,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-21 00:00:00+00:00,18.283,18.949,18.247,18.542,10382.551,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-22 00:00:00+00:00,18.546,18.741,18.3,18.69,4970.583,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-23 00:00:00+00:00,18.69,19.122,18.556,18.84,5192.449,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-24 00:00:00+00:00,18.838,19.061,18.761,18.974,3602.058,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-25 00:00:00+00:00,18.974,19.025,18.599,18.71,3326.843,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-26 00:00:00+00:00,18.709,19.031,18.698,18.987,3650.445,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-27 00:00:00+00:00,18.987,19.05,18.8,18.942,2524.131,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-28 00:00:00+00:00,18.941,19.46,18.94,19.268,4709.729,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-29 00:00:00+00:00,19.268,19.298,19.127,19.185,3464.877,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-06-30 00:00:00+00:00,19.186,19.233,18.296,18.345,8008.899,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-07-01 00:00:00+00:00,18.346,18.491,18.255,18.387,3098.672,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-07-02 00:00:00+00:00,18.384,18.476,18.171,18.246,2078.664,1d,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
