timestamp,open,high,low,close,volume,timeframe,source,source_type,is_percentage,lookahead_safe
2023-05-28 12:00:00+00:00,16.122,16.195,16.121,16.187,551.122,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-28 16:00:00+00:00,16.187,16.38,16.168,16.278,513.304,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-28 20:00:00+00:00,16.279,16.392,16.158,16.182,930.237,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 00:00:00+00:00,16.18,16.291,16.169,16.177,455.489,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 04:00:00+00:00,16.174,16.211,16.155,16.165,204.484,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 08:00:00+00:00,16.166,16.178,16.117,16.128,153.759,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 12:00:00+00:00,16.127,16.155,16.077,16.082,260.05,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 16:00:00+00:00,16.083,16.127,16.049,16.075,300.635,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-29 20:00:00+00:00,16.075,16.119,16.055,16.119,204.732,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 00:00:00+00:00,16.118,16.126,16.09,16.099,187.032,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 04:00:00+00:00,16.099,16.101,16.051,16.062,132.982,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 08:00:00+00:00,16.061,16.1,16.046,16.092,157.074,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 12:00:00+00:00,16.095,16.103,16.021,16.026,201.819,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 16:00:00+00:00,16.025,16.031,15.952,16.019,281.248,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
2023-05-30 20:00:00+00:00,16.02,16.022,15.954,15.978,166.611,4h,uploaded_csv,BTCDOM_INDEX_PROXY,False,True
