timestamp_ms,datetime_utc,datetime_kst,open_raw,high_raw,low_raw,close_raw,open_pct,high_pct,low_pct,close_pct,close_pct_label,volume,source_note
1640995200000,2022-01-01 00:00:00,2022-01-01 09:00:00,1052.2,1052.6,1047.2,1051.1,10.522,10.526,10.472,10.511,10.5110%,462.508,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641009600000,2022-01-01 04:00:00,2022-01-01 13:00:00,1051.1,1061.8,1050.9,1060.7,10.511,10.618,10.509,10.607,10.6070%,796.739,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641024000000,2022-01-01 08:00:00,2022-01-01 17:00:00,1060.7,1062.7,1058.2,1058.9,10.607,10.627,10.582,10.589,10.5890%,394.567,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641038400000,2022-01-01 12:00:00,2022-01-01 21:00:00,1059.0,1060.6,1054.6,1057.0,10.59,10.606,10.546,10.57,10.5700%,694.082,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641052800000,2022-01-01 16:00:00,2022-01-02 01:00:00,1057.0,1061.4,1051.3,1051.3,10.57,10.614,10.513,10.513,10.5130%,537.769,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641067200000,2022-01-01 20:00:00,2022-01-02 05:00:00,1051.3,1053.6,1047.5,1053.0,10.513,10.536,10.475,10.53,10.5300%,1208.26,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641081600000,2022-01-02 00:00:00,2022-01-02 09:00:00,1053.1,1053.8,1048.8,1048.8,10.531,10.538,10.488,10.488,10.4880%,258.877,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641096000000,2022-01-02 04:00:00,2022-01-02 13:00:00,1048.8,1049.7,1044.8,1047.5,10.488,10.497,10.448,10.475,10.4750%,523.654,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641110400000,2022-01-02 08:00:00,2022-01-02 17:00:00,1047.5,1050.3,1046.3,1047.0,10.475,10.503,10.463,10.47,10.4700%,586.308,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641124800000,2022-01-02 12:00:00,2022-01-02 21:00:00,1047.5,1048.2,1039.8,1040.7,10.475,10.482,10.398,10.407,10.4070%,749.212,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641139200000,2022-01-02 16:00:00,2022-01-03 01:00:00,1040.7,1040.8,1029.4,1029.5,10.407,10.408,10.294,10.295,10.2950%,1735.357,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641153600000,2022-01-02 20:00:00,2022-01-03 05:00:00,1029.5,1033.6,1028.3,1030.8,10.295,10.336,10.283,10.308,10.3080%,755.635,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641168000000,2022-01-03 00:00:00,2022-01-03 09:00:00,1030.8,1036.1,1030.8,1032.8,10.308,10.361,10.308,10.328,10.3280%,708.633,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
