timestamp_ms,datetime_utc,datetime_kst,open_raw,high_raw,low_raw,close_raw,open_pct,high_pct,low_pct,close_pct,close_pct_label,volume,source_note
1685275200000,2023-05-28 12:00:00,2023-05-28 21:00:00,1612.2,1619.5,1612.1,1618.7,16.1220,16.1950,16.1210,16.1870,16.1870%,551.122,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685289600000,2023-05-28 16:00:00,2023-05-29 01:00:00,1618.7,1638.0,1616.8,1627.8,16.1870,16.3800,16.1680,16.2780,16.2780%,513.304,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685304000000,2023-05-28 20:00:00,2023-05-29 05:00:00,1627.9,1639.2,1615.8,1618.2,16.2790,16.3920,16.1580,16.1820,16.1820%,930.237,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685318400000,2023-05-29 00:00:00,2023-05-29 09:00:00,1618.0,1629.1,1616.9,1617.7,16.1800,16.2910,16.1690,16.1770,16.1770%,455.489,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685332800000,2023-05-29 04:00:00,2023-05-29 13:00:00,1617.4,1621.1,1615.5,1616.5,16.1740,16.2110,16.1550,16.1650,16.1650%,204.484,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685347200000,2023-05-29 08:00:00,2023-05-29 17:00:00,1616.6,1617.8,1611.7,1612.8,16.1660,16.1780,16.1170,16.1280,16.1280%,153.759,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685361600000,2023-05-29 12:00:00,2023-05-29 21:00:00,1612.7,1615.5,1607.7,1608.2,16.1270,16.1550,16.0770,16.0820,16.0820%,260.050,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685376000000,2023-05-29 16:00:00,2023-05-30 01:00:00,1608.3,1612.7,1604.9,1607.5,16.0830,16.1270,16.0490,16.0750,16.0750%,300.635,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685390400000,2023-05-29 20:00:00,2023-05-30 05:00:00,1607.5,1611.9,1605.5,1611.9,16.0750,16.1190,16.0550,16.1190,16.1190%,204.732,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685404800000,2023-05-30 00:00:00,2023-05-30 09:00:00,1611.8,1612.6,1609.0,1609.9,16.1180,16.1260,16.0900,16.0990,16.0990%,187.032,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
1685419200000,2023-05-30 04:00:00,2023-05-30 13:00:00,1609.9,1610.1,1605.1,1606.2,16.0990,16.1010,16.0510,16.0620,16.0620%,132.982,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/TradingView market-cap BTC.D.
