timestamp_ms,datetime_utc,datetime_kst,open_raw,high_raw,low_raw,close_raw,open_pct,high_pct,low_pct,close_pct,close_pct_label,volume,source_note
1640995200000,2022-01-01 00:00:00,2022-01-01 09:00:00,1052.2,1052.6,1047.6,1047.6,10.522,10.526,10.476,10.476,10.4760%,176.216,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1640998800000,2022-01-01 01:00:00,2022-01-01 10:00:00,1047.6,1050.8,1047.2,1050.1,10.476,10.508,10.472,10.501,10.5010%,123.872,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641002400000,2022-01-01 02:00:00,2022-01-01 11:00:00,1050.1,1050.6,1049.3,1050.0,10.501,10.506,10.493,10.5,10.5000%,71.075,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641006000000,2022-01-01 03:00:00,2022-01-01 12:00:00,1050.0,1051.2,1049.8,1051.1,10.5,10.512,10.498,10.511,10.5110%,91.345,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641009600000,2022-01-01 04:00:00,2022-01-01 13:00:00,1051.1,1056.0,1050.9,1055.9,10.511,10.56,10.509,10.559,10.5590%,101.716,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641013200000,2022-01-01 05:00:00,2022-01-01 14:00:00,1056.0,1059.8,1055.1,1057.9,10.56,10.598,10.551,10.579,10.5790%,239.376,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641016800000,2022-01-01 06:00:00,2022-01-01 15:00:00,1057.9,1060.7,1057.9,1059.7,10.579,10.607,10.579,10.597,10.5970%,135.034,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641020400000,2022-01-01 07:00:00,2022-01-01 16:00:00,1059.8,1061.8,1057.8,1060.7,10.598,10.618,10.578,10.607,10.6070%,320.613,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641024000000,2022-01-01 08:00:00,2022-01-01 17:00:00,1060.7,1062.7,1059.2,1059.6,10.607,10.627,10.592,10.596,10.5960%,143.447,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641027600000,2022-01-01 09:00:00,2022-01-01 18:00:00,1059.6,1059.9,1058.2,1059.9,10.596,10.599,10.582,10.599,10.5990%,65.163,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641031200000,2022-01-01 10:00:00,2022-01-01 19:00:00,1059.9,1061.9,1059.3,1060.9,10.599,10.619,10.593,10.609,10.6090%,85.418,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641034800000,2022-01-01 11:00:00,2022-01-01 20:00:00,1061.0,1061.0,1058.9,1058.9,10.61,10.61,10.589,10.589,10.5890%,100.539,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641038400000,2022-01-01 12:00:00,2022-01-01 21:00:00,1059.0,1060.6,1058.5,1058.8,10.59,10.606,10.585,10.588,10.5880%,109.522,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641042000000,2022-01-01 13:00:00,2022-01-01 22:00:00,1058.8,1059.3,1057.3,1059.2,10.588,10.593,10.573,10.592,10.5920%,118.63,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641045600000,2022-01-01 14:00:00,2022-01-01 23:00:00,1059.1,1059.8,1057.5,1058.1,10.591,10.598,10.575,10.581,10.5810%,223.03,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641049200000,2022-01-01 15:00:00,2022-01-02 00:00:00,1058.1,1058.4,1054.6,1057.0,10.581,10.584,10.546,10.57,10.5700%,242.9,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641052800000,2022-01-01 16:00:00,2022-01-02 01:00:00,1057.0,1058.5,1056.1,1056.9,10.57,10.585,10.561,10.569,10.5690%,154.033,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641056400000,2022-01-01 17:00:00,2022-01-02 02:00:00,1056.9,1061.4,1056.0,1058.5,10.569,10.614,10.56,10.585,10.5850%,75.787,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641060000000,2022-01-01 18:00:00,2022-01-02 03:00:00,1058.6,1060.0,1056.4,1057.0,10.586,10.6,10.564,10.57,10.5700%,49.833,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641063600000,2022-01-01 19:00:00,2022-01-02 04:00:00,1057.0,1057.0,1051.3,1051.3,10.57,10.57,10.513,10.513,10.5130%,258.116,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641067200000,2022-01-01 20:00:00,2022-01-02 05:00:00,1051.3,1051.8,1048.7,1049.8,10.513,10.518,10.487,10.498,10.4980%,145.373,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641070800000,2022-01-01 21:00:00,2022-01-02 06:00:00,1049.4,1050.1,1047.5,1050.1,10.494,10.501,10.475,10.501,10.5010%,573.413,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
1641074400000,2022-01-01 22:00:00,2022-01-02 07:00:00,1049.5,1051.6,1048.8,1049.5,10.495,10.516,10.488,10.495,10.4950%,327.423,Binance BTCDOM index raw value divided by 100 for percent-style display; not CMC/CoinGecko/TradingView market-cap BTC dominance.
