timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,datetime
1685275200000,1612.2,1619.5,1612.1,1618.7,551.122,1685289599999,890685.9324,3225,240.243,388269.8406,0,2023-05-28 12:00:00
1685289600000,1618.7,1638.0,1616.8,1627.8,513.304,1685303999999,834943.6605,4659,289.378,470791.4919,0,2023-05-28 16:00:00
1685304000000,1627.9,1639.2,1615.8,1618.2,930.237,1685318399999,1509866.2244,6713,425.625,690718.7910,0,2023-05-28 20:00:00
1685318400000,1618.0,1629.1,1616.9,1617.7,455.489,1685332799999,738823.1681,3546,223.906,363235.2383,0,2023-05-29 00:00:00
1685332800000,1617.4,1621.1,1615.5,1616.5,204.484,1685347199999,330948.5016,2088,98.132,158825.5941,0,2023-05-29 04:00:00
1685347200000,1616.6,1617.8,1611.7,1612.8,153.759,1685361599999,248316.1025,2016,61.777,99771.9268,0,2023-05-29 08:00:00
1685361600000,1612.7,1615.5,1607.7,1608.2,260.050,1685375999999,419263.9699,2725,129.229,208374.4058,0,2023-05-29 12:00:00
1685376000000,1608.3,1612.7,1604.9,1607.5,300.635,1685390399999,483782.0056,2920,147.389,237204.6950,0,2023-05-29 16:00:00
1685390400000,1607.5,1611.9,1605.5,1611.9,204.732,1685404799999,329262.4837,2057,113.770,182941.2093,0,2023-05-29 20:00:00
1685404800000,1611.8,1612.6,1609.0,1609.9,187.032,1685419199999,301296.7190,1726,74.914,120663.6844,0,2023-05-30 00:00:00
1685419200000,1609.9,1610.1,1605.1,1606.2,132.982,1685433599999,213765.8442,1706,65.006,104489.0354,0,2023-05-30 04:00:00
1685433600000,1606.1,1610.0,1604.6,1609.2,157.074,1685447999999,252384.1303,1700,86.522,139030.8476,0,2023-05-30 08:00:00
1685448000000,1609.5,1610.3,1602.1,1602.6,201.819,1685462399999,324282.6437,2050,100.406,161371.2842,0,2023-05-30 12:00:00
1685462400000,1602.5,1603.1,1595.2,1601.9,281.248,1685476799999,449517.9753,2796,127.678,204065.7209,0,2023-05-30 16:00:00
1685476800000,1602.0,1602.2,1595.4,1597.8,166.611,1685491199999,266379.9158,1838,83.144,132931.3523,0,2023-05-30 20:00:00
1685491200000,1597.7,1604.0,1597.2,1597.8,186.917,1685505599999,299201.0149,2032,107.488,172061.7851,0,2023-05-31 00:00:00
1685505600000,1597.8,1600.6,1590.5,1595.1,478.458,1685519999999,763206.9033,4187,242.100,386229.4143,0,2023-05-31 04:00:00
1685520000000,1595.2,1596.7,1591.1,1592.9,178.131,1685534399999,283836.0935,1904,63.219,100738.1485,0,2023-05-31 08:00:00
1685534400000,1592.9,1594.4,1589.0,1590.0,193.334,1685548799999,307773.3705,2110,95.716,152382.9683,0,2023-05-31 12:00:00
1685548800000,1590.1,1595.7,1589.6,1589.8,209.884,1685563199999,334023.3133,1923,94.404,150279.5006,0,2023-05-31 16:00:00
1685563200000,1589.8,1598.4,1589.8,1594.4,255.295,1685577599999,407271.0952,2595,119.156,190112.5747,0,2023-05-31 20:00:00
1685577600000,1594.4,1595.7,1583.3,1584.8,400.008,1685591999999,635873.6370,3662,165.273,262718.7747,0,2023-06-01 00:00:00
1685592000000,1585.0,1591.5,1584.8,1587.0,165.132,1685606399999,262156.2468,1911,77.675,123309.3643,0,2023-06-01 04:00:00
1685606400000,1587.1,1592.3,1585.9,1588.1,155.127,1685620799999,246472.7205,1697,74.863,118948.3560,0,2023-06-01 08:00:00
1685620800000,1588.1,1589.7,1585.1,1585.5,117.361,1685635199999,186351.6942,1716,53.620,85143.0143,0,2023-06-01 12:00:00
1685635200000,1585.4,1590.3,1577.9,1580.3,263.479,1685649599999,417384.0651,2769,117.618,186368.7534,0,2023-06-01 16:00:00
1685649600000,1580.2,1583.3,1578.8,1582.7,185.512,1685663999999,293361.2921,2225,92.657,146538.2710,0,2023-06-01 20:00:00
1685664000000,1582.7,1585.1,1576.3,1578.7,250.037,1685678399999,394891.0503,2685,127.243,201040.9389,0,2023-06-02 00:00:00
1685678400000,1578.6,1579.3,1573.5,1577.2,232.168,1685692799999,366062.8395,2054,102.752,162009.4467,0,2023-06-02 04:00:00
1685692800000,1577.1,1579.5,1573.8,1575.6,161.256,1685707199999,254132.3005,1842,75.602,119148.8444,0,2023-06-02 08:00:00
1685707200000,1575.5,1578.7,1572.4,1576.4,263.286,1685721599999,414730.7185,2634,120.778,190265.5153,0,2023-06-02 12:00:00
1685721600000,1576.2,1576.4,1567.9,1571.8,286.742,1685735999999,450845.8364,2620,117.885,185331.4605,0,2023-06-02 16:00:00
1685736000000,1571.7,1573.6,1568.4,1570.4,146.370,1685750399999,229964.3077,1642,67.450,105984.3034,0,2023-06-02 20:00:00
1685750400000,1570.4,1572.7,1566.6,1571.6,166.825,1685764799999,262035.8236,1622,86.827,136386.7721,0,2023-06-03 00:00:00
1685764800000,1571.5,1574.0,1567.5,1570.0,202.283,1685779199999,317694.6738,1771,93.339,146631.1835,0,2023-06-03 04:00:00
1685779200000,1570.1,1570.7,1565.1,1566.2,142.355,1685793599999,223189.0671,1454,54.938,86132.4972,0,2023-06-03 08:00:00
1685793600000,1566.2,1576.9,1565.5,1575.2,240.172,1685807999999,377156.6643,1920,144.782,227399.7079,0,2023-06-03 12:00:00
1685808000000,1575.5,1578.4,1572.2,1575.4,194.188,1685822399999,305872.5609,1974,92.390,145527.1507,0,2023-06-03 16:00:00
1685822400000,1575.3,1576.0,1568.1,1568.6,188.095,1685836799999,295391.6820,2010,75.362,118352.4577,0,2023-06-03 20:00:00
1685836800000,1568.7,1569.9,1566.6,1568.1,167.690,1685851199999,262984.8098,1993,82.307,129087.5763,0,2023-06-04 00:00:00
